56	최정민	21K2B	0.020	7	0	10.0	3	2	1	0	1.000	2.70	0.15	0.00	0.00	0.00	0.03	0.18	21.71	0.02	0.20	0.018	0.020
57	최종은	21롯2B	0.013	1	0	1.0	1	0	1	0	1.000	9.00	0.13	0.00	0.00	0.00	0.00	0.13	156.25	0.00	0.13	0.013	0.013
58	이호연	21롯1B	0.013	3	1	12.0	12	10	2	0	1.000	9.00	0.17	0.00	0.00	0.00	0.03	0.20	19.60	-0.07	0.12	0.020	0.013
59	강경학	21한K2B	0.004	22	8	87.0	48	23	23	2	.958	4.76	-0.01	0.00	0.00	0.00	-0.14	-0.15	-2.08	0.19	0.04	-0.015	0.004
60	김주현	21롯1B	0.004	2	1	11.0	12	11	1	0	1.000	9.82	0.11	0.00	0.00	0.00	0.02	0.13	14.53	-0.09	0.04	0.013	
61	고명준	21S1B	0.003	1	0	1.0	2	1	1	0	1.000	18.00	0.04	0.00	0.00	0.00	0.00	0.04	47.63	-0.01	0.03	0.004	0.003
62	안주형	21삼2B	0.003	1	0	1.0	1	0	1	0	1.000	9.00	0.03	0.00	0.00	0.00	0.00	0.03	35.96	0.00	0.03	0.003	0.003
63	오윤석	21KSS	0.001	1	0	1.0	0	0	0	0		0.00	-0.00	0.00	0.00	0.00	0.00	0.00	4.32	0.01	0.01	0.000	0.001
64	오태양	21N2B	0.000	1	0	1.0	1	1	0	0	1.000	9.00	-0.00	0.00	0.00	0.00	0.00	0.00	3.04	0.00	0.00	0.000	0.000
65	권동진	21K2B	0.000	85	14	240.0	130	47	75	8	.939	4.58	-0.09	0.00	0.00	0.00	-0.80	-0.89	-4.43	0.89	0.00	-0.088	0.000
66	김태훈	21K1B	0.000	4	0	5.0	3	3	0	0	1.000	5.40	0.04	0.00	0.00	0.00	0.01	0.05	11.22	-0.04	0.00	0.005	0.000
67	김태균	21한1B	0.000	1	1	0.0	0	0	0	0			0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.000	0.000
68	이태훈	21삼1B	-0.001	1	0	1.0	0	0	0	0		0.00	-0.00	0.00	0.00	0.00	0.00	0.00	2.11	-0.01	-0.01	0.000	-0.001
69	최용제	21두1B	-0.001	1	0	1.0	0	0	0	0		0.00	-0.00	0.00	0.00	0.00	0.00	0.00	2.11	-0.01	-0.01	0.000	-0.001
70	김찬형	21S1B	-0.001	1	0	1.0	0	0	0	0		0.00	-0.00	0.00	0.00	0.00	0.00	0.00	2.11	-0.01	-0.01	0.000	-0.001
71	채은성	21L1B	-0.001	1	0	1.0	0	0	0	0		0.00	-0.00	0.00	0.00	0.00	0.00	0.00	2.11	-0.01	-0.01	0.000	-0.001
72	김민혁	21두1B	-0.001	2	0	3.0	2	2	0	0	1.000	6.00	-0.00	0.00	0.00	0.00	0.01	0.01	2.62	-0.02	-0.01	0.001	-0.001
73	박주홍	21키1B	-0.001	1	1	7.0	11	11	0	0	1.000	14.14	0.04	0.00	0.00	0.00	0.01	0.05	8.62	-0.06	-0.01	0.005	-0.001
74	최재훈	21한1B	-0.001	1	0	2.0	2	2	0	0	1.000	9.00	-0.00	0.00	0.00	0.00	0.00	0.00	2.11	-0.02	-0.01	0.000	-0.001
75	최정원	21N2B	-0.003	66	56	451.1	232	93	132	7	.970	4.49	-0.58	0.00	0.00	0.00	-0.22	-0.80	-2.13	0.78	-0.03	-0.080	-0.003
76	백승민	21삼1B	-0.003	3	0	5.0	3	3	0	0	1.000	5.40	-0.00	0.00	0.00	0.00	0.01	0.01	2.11	-0.04	-0.03	0.001	-0.003
77	이성열	21한1B	-0.006	10	7	64.0	51	46	4	1	.980	7.03	0.57	0.00	0.00	0.00	-0.08	0.49	9.12	-0.55	-0.06	0.049	-0.006
78	백용환	21K한1B	-0.007	2	1	10.0	6	6	0	0	1.000	5.40	-0.00	0.00	0.00	0.00	0.02	0.02	2.11	-0.09	-0.07	0.002	-0.007
79	전병우	21키1B	-0.007	122	61	617.2	297	158	130	9	.970	4.20	0.10	0.00	0.00	0.00	-0.04	0.06	0.11	-0.12	-0.07	0.006	-0.007
80	김병휘	21키2B	-0.010	8	2	27.0	15	5	9	1	.933	4.67	-0.03	0.00	0.00	0.00	-0.13	-0.16	-7.03	0.06	-0.10	-0.016	-0.010
81	오정환	21K2B	-0.013	4	3	31.0	14	4	9	1	.929	3.77	-0.07	0.00	0.00	0.00	-0.12	-0.18	-7.10	0.05	-0.13	-0.018	-0.013
