16	김기환	21NLF	0.235	58	37	321.0	77	74	1	2	.974	2.10	4.47	-0.26	0.00	0.00	-0.25	3.96	14.75	-1.63	2.33	0.399	0.235
17	이동훈	21한LF	0.226	26	15	150.2	55	53	1	1	.982	3.23	2.16	0.01	0.00	0.00	-0.13	2.05	16.25	0.19	2.23	0.207	0.226
18	이재원	21LLF	0.225	57	41	366.0	87	84	3	0	1.000	2.14	2.89	0.97	0.00	0.00	0.21	4.07	13.30	-1.82	2.25	0.408	0.225
19	박정음	21키LF	0.211	46	1	82.0	30	30	0	0	1.000	3.29	3.07	-0.76	0.00	0.00	0.04	2.35	34.34	-0.24	2.12	0.235	0.211
20	오태곤	21SLF	0.191	64	28	285.0	73	69	3	1	.986	2.27	2.55	0.80	0.00	0.00	-0.06	3.28	13.77	-1.36	1.92	0.327	0.191
21	이창진	21KLF	0.177	107	72	631.1	199	197	1	1	.995	2.82	4.11	-3.03	0.00	0.00	0.10	1.18	2.24	0.58	1.76	0.119	0.177
22	박승규	21삼LF	0.174	45	13	165.2	57	57	0	0	1.000	3.10	2.79	-0.71	0.00	0.00	0.08	2.16	15.59	-0.42	1.73	0.216	0.174
23	알테어	21NCF	0.172	134	129	1078.2	325	319	4	2	.994	2.70	2.54	-2.78	0.00	0.00	0.11	-0.13	-0.14	1.88	1.76	-0.012	0.172
24	노수광	21한LF	0.150	51	44	377.0	121	117	4	0	1.000	2.89	-1.34	2.46	0.00	0.00	0.18	1.30	4.13	0.19	1.50	0.131	0.150
25	임지열	21키LF	0.144	12	7	55.0	11	10	1	0	1.000	1.80	1.04	0.63	0.00	0.00	0.03	1.70	36.89	-0.28	1.42	0.172	0.144
26	문성주	21LLF	0.139	34	20	181.0	49	48	0	1	.980	2.39	3.17	-0.99	0.00	0.00	-0.11	2.07	13.68	-0.69	1.38	0.209	0.139
27	허정협	21키LF	0.130	14	6	68.0	20	20	0	0	1.000	2.65	1.66	-0.06	0.00	0.00	0.03	1.63	28.67	-0.35	1.28	0.165	0.130
28	김지수	21한LF	0.104	12	7	59.0	14	14	0	0	1.000	2.14	0.94	0.27	0.00	0.00	0.03	1.24	25.23	-0.23	1.01	0.129	0.104
29	정수빈	21두CF	0.083	103	77	731.2	223	218	4	1	.996	2.73	-0.48	-0.10	0.00	0.00	0.15	-0.43	-0.70	1.26	0.83	-0.043	0.083
30	이천웅	21LLF	0.081	68	42	405.2	90	89	1	0	1.000	2.00	1.15	-0.28	0.00	0.00	0.19	1.07	3.15	-0.26	0.81	0.107	0.081
31	홍현빈	21KLF	0.076	25	1	54.2	14	13	1	0	1.000	2.31	0.64	0.38	0.00	0.00	0.03	1.04	22.82	-0.28	0.76	0.104	0.076
32	최정원	21NLF	0.070	10	1	21.2	10	10	0	0	1.000	4.15	0.78	-0.02	0.00	0.00	0.01	0.77	42.81	-0.08	0.70	0.077	0.070
33	김창평	21SLF	0.064	14	3	39.2	8	8	0	0	1.000	1.82	0.42	0.35	0.00	0.00	0.02	0.78	23.61	-0.15	0.63	0.079	0.064
34	이재율	21NLF	0.055	14	2	43.0	10	10	0	0	1.000	2.09	0.87	-0.23	0.00	0.00	0.02	0.67	18.53	-0.12	0.55	0.067	0.055
